"SAN FRANCISCO – It has never been easy to have a rational conversation about the value of gold.","SAN FRANCISCO – Es war noch nie leicht, ein rationales Gespräch über den Wert von Gold zu führen."
"It all came about in a number of ways.","Verschiedene Wege führten mich dorthin."
"First of all, as a kid, I just assumed that I would go to the moon, without having to do much in particular to make it happen.","Als Kind dachte ich, dass ich ohne große Anstrengungen meinerseits eines Tages zum Mond fliegen würde."
"I just took it for granted that, by the time I was, say, 40, space travel would be a common thing.","Es war für mich klar, dass Reisen ins All eine Selbstverständlichkeit sein würden, wenn ich einmal so um die 40 bin."
"My father was involved with the United States space program, and we had some moon rocks at home, so I thought it was no big deal.","Mein Vater arbeitete am Raumfahrtprogramm der USA mit und daheim hatten wir ein paar Steine vom Mond. Deshalb dachte ich, dass so eine Reise ins All keine große Sache sein kann."
"Then I got distracted for about 40 years.","Anschließend war ich ungefähr 40 Jahre lang anderweitig beschäftigt."
"A few years ago, however, I started paying attention to space again.","Vor ein paar Jahren allerdings rückte die Raumfahrt wieder in das Zentrum meiner Aufmerksamkeit."
"A lot of people I knew in the IT industry were doing the same: Elon Musk, a co-founder of PayPal, founded Space-X; Jeff Bezos of Amazon started a spacecraft company called Blue Origin; Jeff Greason, a senior manager at Intel, started XCOR Aerospace (in which I’m an investor).","Vielen Bekannte aus dem IT-Bereich erging es gleich: Elon Musk, Mitbegründer von PayPal, gründete die Firma Space-X; Jeff Bezos von Amazon etablierte ein Raumfahrtunternehmen namens Blue Origin; Jeff Greason, hochrangiger Manager bei Intel, gründete XCOR Aerospace (an dem ich beteiligt bin)."
"In 2005, the last year I held my PC Forum conference for IT entrepreneurs, I started a conference called Flight School for entrepreneurs in space and private aviation.","Und im Jahr 2005, als ich meine Konferenz „PC Forum“ für IT-Unternehmer zum letzten Mal abhielt, initiierte ich eine andere Konferenz namens „Flight School“ für Unternehmer aus den Bereichen Raumfahrt und private Luftfahrt."
"Meanwhile, in about 2005, I was in South Africa with a small group advising former President Thabo Mbeki and his government about its IT policy.","Im selben Jahr war ich mit einem kleinen Team in Südafrika, um Präsident Thabo Mbeki und seine Regierung in Fragen der IT-Politik zu beraten."
"One of the group was Mark Shuttleworth, founder of Thawte (sold to VeriSign), who had recently come back from a trip to the space station as the second “space tourist.”","Ein Mitglied dieses Teams war Mark Shuttleworth, Gründer von Thawte (das später an VeriSign verkauft wurde), der erst kurz davor von einer Reise ins All zurückgekehrt war, an der er als zweiter „Weltraumtourist“ teilgenommen hatte."
"One evening, the group sat around a campfire as the sun set, and around 50 African schoolchildren were bussed in.","Eines Abends saßen wir bei Sonnenuntergang um ein Lagerfeuer, als 50 südafrikanische Schulkinder in Bussen ankamen."
"Altogether, there were about 100 of us, President Mbeki included, around a roaring fire.","Zusammen mit Präsident Mbeki bestand die Gruppe aus etwa 100 Personen, die sich um das lodernde Feuer versammelt hatten."
"Once it was dark, a screen was set up and Mark showed home videos from space.","Nach Einbruch der Dunkelheit wurde eine Leinwand aufgestellt und Mark zeigte uns Videos aus dem Weltraum."
"He gave a fascinating talk about his adventures, complete with clips of him floating around, catching bubbles in his mouth, and so on.","Er erzählte uns faszinierende Geschichten von seinen Abenteuern und untermalte dies mit Bildern, wo zu sehen war, wie er in der Schwerelosigkeit schwebte und versuchte Tropfen mit seinem Mund zu fangen, und so weiter."
"The kids loved it, and I'm sure some of them decided then and there to study math and science.","Die Kinder hatten riesigen Spaß und ich bin mir sicher, dass manche auf der Stelle den Entschluss fassten, Mathematik und Naturwissenschaften zu studieren."
"Eventually, I invested in Space Adventures, the company that organized Shuttleworth’s trip into space.","Schließlich beteiligte ich mich an der Firma Space Adventures, die Shuttleworths Trip in den Weltraum organisiert hatte."
"Later, I went on a tour that they organized to watch the launch of Charles Simonyi, the fifth (and soon seventh) space tourist, from Baikonur in Kazakhstan.","Später nahm ich an einer von dieser Firma angebotenen Tour zum Weltraumbahnhof Baikonur in Kasachstan teil, um den Start von Charles Simonyi, dem fünften (und siebten) Weltraumtouristen zu verfolgen."
"(Simonyi wrote the Microsoft Word program, and now has another start-up, Intentional Software, and a foundation, as well as a Web site, CharlesinSpace.org.)","(Simonyi entwickelte das Programm Microsoft Word und besitzt mittlerweile sein eigenes Start-up namens Intentional Software sowie eine Stiftung und betreibt die Webseite CharlesinSpace.org.)"
"Soon after, I started casually discussing the notion of becoming a backup cosmonaut with the Space Adventures team.","Bald darauf begann ich so nebenbei über die Möglichkeit zu sprechen, Ersatzkosmonautin im Space Adventures-Team zu werden."
"Yes, I would love to actually go, but the trip to space costs $35 to $40 million, whereas backup training costs “only” $3 million.","Ja, ich würde wirklich liebend gern in den Weltraum reisen, aber das kostet zwischen 35 und 40 Millionen Dollar, wohingegen die Ausbildungskosten für Ersatzraumfahrer „nur“ 3 Millionen Dollar betragen."
"So I had vague thoughts that I might go into space sometime in 2011 - the year that Google co-founder Sergey Brin is (very) tentatively slated to go.","Ich hatte die vage Idee, dass ich im Jahr 2011 eventuell ins All reisen könnte – also in dem Jahr, da Google-Mitbegründer Sergej Brin vermutlich seine Reise antreten wird."
"Space Adventures was pushing for 2009, but I was pretty busy.","Space Adventures drängte auf einen Termin im Jahr  2009, aber ich war zu beschäftigt."
"Then something happened last spring: my sister Emily discovered that she had cancer and had a double mastectomy.","Im letzten Frühjahr passierte es dann: Meine Schwester Emily erkrankte an Krebs und musste sich einer beidseitigen Brustamputation unterziehen."
"(She is doing well now and, in fact, just won a mini-marathon.)","(Mittlerweile geht es ihr wieder gut und sie hat auch gerade einen Mini-Marathon gewonnen)."
"A couple of weeks later, I was faced with one of those conflicts: a board meeting here, a conference there, another opportunity at the same time somewhere else. “Aaagh,” I thought, “if only I had a double mastectomy: I could cancel all these things and no one would complain!”","Ein paar Wochen später hatte ich es mit einer dieser typischen Terminkollisionen zu tun: Eine Vorstandssitzung hier, eine Konferenz da und gleichzeitig noch ein Termin an einem anderen Ort. „Herrje”, dachte ich „hätte ich doch nur auch eine beidseitige Brustamputation, dann könnte ich alle diese Termine absagen und kein Mensch würde sich beschweren!“  "
"","Du liebe Zeit!"
"Good grief!  I realized my priorities were all out of whack.   So in some odd way, this sabbatical in Russia is my alternative to a double mastectomy – a positive one, to be sure, but the same kind of reset-button experience. ","Mir wurde klar, dass meine Prioritäten wohl aus dem Lot geraten waren. Auf seltsame Weise ist dieses Sabbatical in Russland meine Alternative zur beidseitigen Brustamputation – eine positive Alternative natürlich, aber doch eine Art Neustart. "
"It is also the answer to another question I hear a lot because of my work on human genetics through 23andMe (www.23andme.com) and the Personal Genome Project (www.personalgenome.org): If you learned you had a high chance of developing Alzheimer’s in a few years, what would you do?","Das ist auch die Antwort auf eine andere Frage, mit der ich aufgrund meiner Arbeit im humangenetischen Bereich bei 23andMe (www.23andme.com) und Personal Genome Project ( www.personalgenome.org ) konfrontiert bin: Was würden Sie tun, wenn Sie erfahren, dass Sie in ein paar Jahren mit hoher Wahrscheinlichkeit an Alzheimer erkranken werden? Natürlich würde ich mich zur Kosmonautin ausbilden lassen!"
"Why, I’d go train to be a cosmonaut, of course! And why wait to find out I may get Alzheimer’s?  Next month, I will write about what training to go into space actually involves.","Wozu also darauf warten, bis man erfährt, dass man womöglich an Alzheimer erkranken wird? Nächstes Monat werde ich dann berichten, was alles zum Training für einen Weltraumflug dazugehört."
"Five years after the attacks on the Twin Towers in New York and the Pentagon in Washington, “9/11” is no longer a mere date.","Fünf Jahre nach dem Anschlag auf die Twin Towers in New York und das Pentagon in Washington ist der „11. September“ kein bloßes Datum mehr."
"It has entered the history books as the beginning of something new, a new era perhaps, but in any case a time of change.","Er ist in die Geschichtsbücher als der Anfang von etwas Neuem eingegangen, vielleicht einer neuen Ära, aber in jedem Fall einer Zeit der Veränderung."
"The terrorist bombings in Madrid and London and elsewhere will also be remembered; but it is “9/11” that has become the catchphrase, almost like “August 1914.”","Auch die terroristischen Bombenanschläge von Madrid, London und anderswo werden uns in Erinnerung bleiben, aber der „11. September“ ist zum Schlagwort geworden, fast wie der „August 1914“."
"But was it really a war that started on September 11, 2001?","Doch hat am 11. September 2001 tatsächlich ein Krieg begonnen?"
"Not all are happy about this American notion.","Nicht alle sind mit dieser amerikanischen Vorstellung glücklich."
"During the heyday of Irish terrorism in the UK, successive British governments went out of their way not to concede to the IRA the notion that a war was being waged. “War” would have meant acceptance of the terrorists as legitimate enemies, in a sense as equals in a bloody contest for which there are accepted rules of engagement.","Zur Hochzeit des irischen Terrorismus in Großbritannien taten verschiedene britische Regierungen ein Übriges, um der IRA nicht zuzugestehen, dass ein Krieg geführt wurde. „Krieg“ hätte die Akzeptanz der Terroristen als legitime Feinde bedeutet, sozusagen als Ebenbürtige in einem blutigen Wettstreit, in dem anerkannte Kampfregeln gelten."
"This is neither a correct description nor a useful terminology for terrorist acts, which are more correctly described as criminal.","Dies ist weder eine korrekte Beschreibung noch eine sinnvolle Terminologie für Terrorakte, die man korrekter als kriminell beschreibt."
"By calling them war – and naming an opponent, usually al-Qaeda and its leader, Osama bin Laden – the United States government has justified domestic changes that, before the 9/11 attacks, would have been unacceptable in any free country.","Indem die Regierung der Vereinigten Staaten den Terrorismus als Krieg bezeichnet – und einen Gegner benennt, normalerweise Al Kaida und ihren Führer, Osama bin Laden –, hat sie innenpolitische Änderungen gerechtfertigt, die vor den Anschlägen des 11. Septembers in einem freien Land nicht hinnehmbar gewesen wären."
"Most of these changes were embodied in the so-called “USA Patriot Act.”","Die meisten dieser Änderungen sind im so genannten „USA Patriot Act“ enthalten."
"Though some of the changes simply involved administrative regulations, the Patriot Act’s overall effect was to erode the great pillars of liberty, such as habeas corpus , the right to recourse to an independent court whenever the state deprives an individual of his freedom.","Obwohl einige der Änderungen lediglich Verwaltungsvorschriften betrafen, war der Gesamteffekt, dass die großen Säulen der Freiheit ausgehöhlt wurden, z. B. das Habeas-Corpus-Gesetz, das Recht, ein unabhängiges Gericht anzurufen, wenn der Staat eine Person ihrer Freiheit beraubt."
"From an early date, the prison camp at Guantánamo Bay in Cuba became the symbol of something unheard of: the arrest without trial of “illegal combatants” who are deprived of all human rights.","Sehr früh wurde das Gefangenenlager in Guantánamo Bay in Kuba zu einem Symbol von etwas noch nie da Gewesenem: der Verhaftung von „illegalen Kämpfern“, denen sämtliche Menschenrechte vorenthalten werden, ohne Gerichtsverfahren."
"The world now wonders how many more of these non-human humans are there in how many places.","Die Welt fragt sich jetzt, wie viele dieser nichtmenschlichen Menschen es noch an wie vielen Orten der Welt gibt."
"For everyone else, a kind of state of emergency was proclaimed that has allowed state interference in essential civil rights.","Für alle anderen wurde eine Art Notstand ausgerufen, der die Einmischung des Staates in grundlegende Bürgerrechte ermöglicht."
"Controls at borders have become an ordeal for many, and police persecution now burdens quite a few.","Grenzkontrollen sind für viele zu einer Qual geworden, und etliche Menschen haben unter polizeilichen Schikanen zu leiden."
"A climate of fear has made life hard for anyone who looks suspicious or acts suspiciously, notably for Muslims.","Ein Klima der Angst macht allen das Leben schwer, die verdächtig aussehen oder handeln, besonders Muslimen."
"Such restrictions on freedom did not meet with much public opposition when they were adopted.","Als derartige Freiheitsbeschränkungen beschlossen wurden, trafen sie auf keinen großen öffentlichen Widerstand."
"On the contrary, by and large it was the critics, not the supporters, of these measures who found themselves in trouble.","Im Gegenteil, im Großen und Ganzen waren es die Kritiker, nicht die Verfechter dieser Maßnahmen, die Ärger bekamen."
"In Britain, where Prime Minister Tony Blair supported the US attitude entirely, the government introduced similar measures and even offered a new theory.","In Großbritannien, wo Premierminister Tony Blair die Haltung der USA vollkommen unterstützte, hat die Regierung ähnliche Maßnahmen ergriffen und sogar eine neue Theorie angeboten."
"Blair was the first to argue that security is the first freedom.","Blair hat als Erster argumentiert, dass Sicherheit die wichtigste Freiheit darstelle."
"In other words, liberty is not the right of individuals to define their own lives, but the right of the state to restrict individual freedom in the name of a security that only the state can define.","Anders ausgedrückt ist Freiheit nicht das persönliche Recht des Einzelnen, über sein eigenes Leben zu bestimmen, sondern das Recht des Staates, die individuelle Freiheit im Namen einer Sicherheit einzuschränken, die nur der Staat definieren kann."
"This is the beginning of a new authoritarianism.","Dies ist der Anfang eines neuen Autoritarismus."
"The problem exists in all countries affected by the threat of terrorism, though in many it has not become quite as specific.","Das Problem besteht in allen Ländern, die von der Bedrohung des Terrorismus betroffen sind, obwohl es in vielen nicht ganz so konkret ist."
"In most countries of continental Europe, “9/11” has remained an American date.","In den meisten Ländern auf dem europäischen Festland ist der „11. September“ ein amerikanisches Datum geblieben."
"There is even a debate – and indeed some evidence – concerning the question of whether involvement in the “war against terrorism” has actually increased the threat of terrorist acts.","Es gibt sogar eine Debatte hinsichtlich der Frage, ob die Beteiligung am „Krieg gegen den Terror“ die Bedrohung durch Terrorakte vielleicht nicht sogar vergrößert hat – und dafür gibt es tatsächlich einige Anzeichen."
"Germans certainly use this argument to stay out of the action wherever possible.","Die Deutschen benutzen dieses Argument auf jeden Fall, um sich aus dem Geschehen herauszuhalten, wo immer dies nur möglich ist."
"This stance, however, has not prevented the spread of something for which a German word is used in other languages, too: Angst .","Diese Haltung hat jedoch nicht verhindert, dass sich ein Phänomen ausbreitet, für das auch in anderen Sprachen ein deutsches Wort benutzt wird: Angst ."
"A diffuse anxiety is gaining ground.","Eine diffuse Besorgnis greift um sich."
"People feel uneasy and worried, especially when traveling.","Besonders auf Reisen fühlen sich die Menschen unwohl und besorgt."
"Any train accident or airplane crash is now at first suspected of being an act of terrorism.","Bei jedem Zugunglück oder Flugzeugabsturz wird nun zuerst vermutet, dass es sich um einen Terrorakt handelt."
"Thus, 9/11 has meant, directly or indirectly, a great shock, both psychologically and to our political systems.","Somit war der 11. September direkt oder indirekt ein großer Schock, sowohl psychologisch als auch für unsere politischen Systeme."
"While terrorism is fought in the name of democracy, the fight has in fact led to a distinct weakening of democracy, owing to official legislation and popular angst.","Obwohl der Terrorismus im Namen der Demokratie bekämpft wird, hat der Kampf aufgrund der offiziellen Gesetzgebung und der allgemeinen Angst in Wirklichkeit zu einer eindeutigen Schwächung der Demokratie geführt."
"One of the worrying features of the 9/11 attacks is that it is hard to see their purpose beyond the perpetrators’ resentment of the West and its ways.","Ein beunruhigendes Merkmal der Anschläge vom 11. September ist, dass die Absicht dahinter schwer zu erkennen ist, außer dem Hass der Täter auf den Westen und seine Lebensart."
"But the West’s key features, democracy and the rule of law, have taken a far more severe battering at the hands of their defenders than by their attackers.","Doch haben die Hauptmerkmale des Westens, Demokratie und Rechtsstaatlichkeit, von den eigenen Verteidigern einen wesentlich härteren Schlag einstecken müssen als von ihren Angreifern."
"Two steps, above all, are needed to restore confidence in liberty within the democracies affected by the legacy of 9/11.","Es sind vor allem zwei Schritte erforderlich, um in den Demokratien, die vom Vermächtnis des 11. Septembers betroffen sind, das Vertrauen in die Freiheit wiederherzustellen."
"First, we must make certain that the relevant legislation to meet the challenge of terrorism is strictly temporary.","Erstens müssen wir sicherstellen, dass die einschlägigen Gesetze, die die Herausforderung des Terrorismus betreffen, ausschließlich vorübergehend sind."
"Some of today’s restrictions on habeas corpus and civil liberties have sunset clauses restricting their validity; all such rules should be re-examined by parliaments regularly.","Einige der heutigen Einschränkungen des Habeas-Corpus-Gesetzes und der Bürgerrechte haben nur begrenzte Gültigkeit. Sämtliche Vorschriften dieser Art sollten regelmäßig von den Parlamenten überprüft werden."
"Second, and more importantly, our leaders must seek to calm, rather than exploit, public anxiety.","Zweitens, noch wichtiger ist, dass unsere Machthaber versuchen müssen, die allgemeine Besorgnis eher zu beruhigen als sie auszunutzen."
"The terrorists with whom we are currently at “war” cannot win, because their dark vision will never gain broad popular legitimacy.","Die Terroristen, gegen die wir derzeit „Krieg“ führen, können nicht gewinnen, da ihre dunkle Vision niemals eine breite allgemeine Legitimität erhalten wird."
"That is all the more reason for democrats to stand tall in defending our values – first and foremost by acting in accordance with them.","Die Demokraten haben somit umso mehr Grund, bei der Verteidigung ihrer Werte standhaft zu bleiben – vor allem, indem sie in Einklang mit ihnen handeln."
"The world has tried with little success to cut carbon emissions under the Kyoto Protocol.","Die Welt hat bisher weitgehend erfolglos versucht, im Rahmen des Kyotoprotokolls die CO2-Emissionen zu senken."
"The enormous effort expended to bring the Protocol into force nonetheless indicates how much work will be required to produce the next treaty, due to be agreed in Copenhagen in December 2009.","Die enormen Anstrengungen, die es gekostet hat, das Protokoll in Kraft zu setzen, zeigen nichtsdestotrotz, wie viel Arbeit erforderlich sein wird, um das nächste Vertragswerk, das im Dezember 2009 in Kopenhagen verabschiedet werden soll, herbeizuführen."
"Campaigners will push for tough and far-reaching policies, but strong resistance will continue from countries concerned about their economic vitality.","Seine Befürworter werden auf kompromisslose und weit reichende Grundsätze drängen, doch wird es weiter starken Widerstand von über ihre wirtschaftliche Dynamik besorgten Ländern geben."
"The new negotiations will have one advantage over the earlier efforts, because governments now understand the need for a portfolio of adaptation, mitigation, and research efforts.","Die neuen Verhandlungen werden gegenüber den früheren Bemühungen einen Vorteil haben, denn den Regierungen ist inzwischen die Notwendigkeit eines Portfolios aus Anpassungs-, Abfederungs- und Forschungsmaßnahmen bewusst."
"New research that my colleagues and I undertook for the Copenhagen Consensus Center in Denmark explores the effectiveness of different responses to this global challenge, but it strongly supports the portfolio approach for several reasons.","Neue Untersuchungen, die meine Kollegen und ich für das Copenhagen Consensus Center in Dänemark durchgeführt haben, befassen sich mit der Effektivität unterschiedlicher Reaktionen auf diese globale Herausforderung, bestätigen jedoch aus verschiedenen Gründen nachhaltig den Portfolioansatz."
"First, we now know that adaptation will be essential, because temperatures will rise by another 0.6°C by 2100 even if greenhouse gas emissions are eliminated tomorrow.","Zunächst einmal wissen wir inzwischen, dass wir uns werden anpassen müssen, denn die Temperaturen werden bis ins Jahr 2100 um weitere 0,6° C steigen, selbst wenn wir schon morgen auf sämtliche Klimagase verzichten."
"We also know that the impact of climate change will not be evenly distributed across the globe.","Wir wissen außerdem, dass sich die Auswirkungen des Klimawandels global ungleichmäßig bemerkbar machen werden."
"In some areas, modestly warmer temperatures could produce higher crop yields if associated changes in precipitation patterns are not adverse and/or irrigation remains viable.","In einigen Gegenden könnten moderate Temperaturanstiege – sofern sich die mit ihnen einhergehenden Veränderungen in den Niederschlagsmustern nicht negativ auswirken bzw. eine Bewässerung praktikabel bleibt – zu höheren Ernteerträgen führen."
"Even with 0.6°C warming, however, Africa and South Asia will experience almost immediate reductions in the viability of many crops and, eventually, increased vulnerability to infectious disease.","Selbst bei einer Erwärmung um 0,6° C jedoch wird es in Afrika und Südasien zu nahezu sofortigen Verringerungen der Anbaufähigkeit vieler Kulturpflanzen sowie letztendlich zur zunehmenden Anfälligkeit gegenüber vielen Infektionskrankheiten kommen."
"These impacts will clearly hit the planet’s worst-off inhabitants hardest: the “bottom billion” who already bear the heaviest burden of disease, poverty, conflict and malnutrition.&#160;","Diese Auswirkungen werden eindeutig jene auf unserem Planeten am härtesten treffen, denen es ohnehin schon am schlechtesten geht: die „unterste Milliarde“, die durch Krankheiten, Armut, bewaffnete Konflikte und Unterernährung bereits jetzt am schwersten zu tragen haben."
"Ensuring that adaptive capacity is expanded and exploited where it is most needed is thus a key challenge.","Eine zentrale Herausforderung besteht daher darin, unsere Anpassungsfähigkeit dort zu erweitern und zu nutzen, wo dies am wichtigsten ist."
"Long-term development may give countries more capacity to soften the impact of climate change on the environment and citizens’ health, but in the meantime the planet’s poorest people will need help from the rich.","Langfristige Entwicklung mag die Fähigkeit einzelner Länder erweitern, die Auswirkungen des Klimawandels auf die Umwelt und die Gesundheit ihrer Bürger zu begrenzen. In der Zwischenzeit jedoch sind die Ärmsten auf unserem Planeten auf die Hilfe der Reichen angewiesen."
"Our analysis investigated, for example, the merits of more targeted policies for the near term: purchasing mosquito-resistant bed nets and oral re-hydration malaria therapy for children in the poorest nations affected by climate change.","Wir haben im Rahmen unserer Analyse z.B. die Vorteile untersucht, die sich kurzfristig aus stärker zielgerichteten Strategien ergeben würden: dem Kauf mückenresistenter Moskitonetze und oraler Malariamedikamente zur Rehydration von Kindern in den ärmsten vom Klimawandel betroffenen Ländern."
"The goal was to deal aggressively and proactively with some of the marginal health impacts of global warming.","Ziel war es, einige der marginalen gesundheitlichen Auswirkungen aggressiv und vorausschauend in Angriff zu nehmen."
"Benefits would appear almost immediately, but would dissipate over time as economies developed.","Die Vorteile würden fast sofort wirksam werden, sich jedoch im Laufe der Zeit, wenn sich die Volkswirtschaften entwickeln, auflösen."
"Even as development improves conditions, however, reducing carbon emissions would become increasingly important over the longer term as the impact of climate change become more severe.","Auch wenn sich durch zunehmende Entwicklung die Umstände verbessern würden, wäre eine langfristige Senkung der CO2-Emissionen angesichts sich verschärfender Auswirkungen des Klimawandels von zunehmender Bedeutung."
"Since the effects of climate change have been observed in many areas around the world, thinking about mitigation makes sense everywhere.","Da die Auswirkungen des Klimawandels in vielen Gegenden der Welt zu beobachten sind, ist es überall sinnvoll, über ihre Abfederung nachzudenken."
"But we found that mitigationalone did not meet a standard cost-benefit test.","Wir haben jedoch festgestellt, dass eine derartige Abfederungalleineiner standardmäßigen Kosten-Nutzen-Prüfung nicht standhält."
"We allowed specified annual costs of climate policy to grow in proportion with global GDP through 2100 from an initial annual benchmark of $18 billion.","Wir sind dabei von bis 2100 proportional zum weltweiten BIP ansteigenden vorgegebenen Jahreskosten für die Klimapolitik ausgegangen, wobei wir als Ausgangswert 18 Milliarden Dollar angenommen haben."
"The discounted cost of the resulting stream of fixed annual costs totaled $800 billion, but damages avoided by this approach amounted to a discounted value of only $685 billion.","Die diskontierten Kosten des resultierenden Stroms jährlicher Festkosten beliefen sich so auf insgesamt 800 Milliarden Dollar, die durch diesen Ansatz vermiedenen Schäden jedoch auf einen diskontierten Wert von nur 685 Milliarden."
"The Copenhagen Consensus study also examined a portfolio option of the sort heralded by the United Nations’ Intergovernmental Panel on Climate Change.","Die Studie Copenhagen Consensus untersuchte auch eine Portfoliooption von der Art, wie sie vom Intergovernmental Panel on Climate Change der Vereinten Nationen propagiert wird."
"We allocated $50 billion to research into greener technology, so that only $750 billion could be absorbed by the economic cost of adaptation and mitigation.","Wir wiesen für Forschung in grüne Technologien einen Betrag von 50 Milliarden Dollar aus, sodass für die wirtschaftlichen Kosten der Anpassungs- und Abfederungsmaßnahmen nur noch 750 Milliarden ausgegeben werden konnten."
"The gap between the cost of carbon-free and carbon-emitting technology fell, and the taxes designed to mitigate emissions became more effective.","Die Kluft zwischen CO2-freien und CO2 emittierenden Technologien verkleinerte sich, und die zur Absenkung der Emissionen konzipierten Steuern wurden effektiver."
"As a result, the research and development program essentially paid for itself, and total discounted benefits for the $800 billion investment climbed to more than $2.1 trillion.&#160;","Die Folge war, dass Forschung und Entwicklung sich im Wesentlichen selbst finanzierten und der diskontierte Gesamtnutzen der Investitionen im Wert von 800 Milliarden Dollar auf mehr als 2,1 Billionen Dollar stieg."
"Ensuring that research and development is part of the world’s climate change response portfolio would make mitigation efforts more efficient and significantly enhance their ability to reduce carbon emissions over the next century.","Dafür zu sorgen, dass Forschung und Entwicklung Teil des weltweiten Reaktionsportfolios sind, würde die Abfederungsbemühungen effizienter machen und ihre Fähigkeit zur Reduzierung der CO2-Emissionen im Verlaufe des nächsten Jahrhunderts wesentlich erhöhen."
"But these favorable net benefits reflect very conservative assumptions regarding the timing of emissions reductions and when the developing world would “come onboard.”","Diesem Nettonutzen liegen allerdings sehr konservative Annahmen über den Zeitrahmen der Emissionsreduzierungen und den Zeitpunkt, an dem man die Entwicklungsländer „ins Boot bekommt“, zugrunde."
"Optimizing investment in the portfolio over time would, for example, increase the discounted benefits by more than a factor of three.","Eine Optimierung der Investitionen innerhalb des Portfolios im Laufe der Zeit würde etwa den diskontierten Nutzen um mehr als das Dreifache erhöhen."
"Expected benefits would increase further if we included the chance that potentially higher climate sensitivities would exacerbate damages, even though doing so would require including similarly plausible lower climate sensitivities, which would push in the opposite direction.","Der erwartete Nutzen würde weiter zunehmen, falls wir die Chance, dass potenziell höhere Klimasensibilitäten die Schäden verschärften, einbezögen. Dies freilich würde voraussetzen, dass wir ähnlich plausible niedrigere Klimasensibilitäten mit einbezögen, was Auswirkungen in die entgegensetzte Richtung hätte."
"Fighting climate change can be a sound investment, even though neither mitigation nor adaptation alone will be enough to “solve” the problem.","Der Kampf gegen den Klimawandel kann eine vernünftige Investition darstellen, obwohl weder Abfederungs- noch Anpassungsmaßnahmen allein ausreichen werden, um das Problem zu „lösen“."
"To make a real difference, especially in the near term, the world must combine mitigation and adaptation with increased research and development into carbon-saving and sequestering technology, which in turn requires designing and exploiting market-based incentives.","Um insbesondere kurzfristig wirklich etwas zu bewirken, muss die Welt Abfederungs- und Anpassungsmaßnahmen mit zunehmender Forschung und Entwicklung im Bereich der CO2-Einsparungs- und der Sequestrierungstechnologie verbinden, was seinerseits die Entwicklung und wirtschaftliche Nutzung marktbasierender Anreize erfordert."
"STOCKHOLM – One year after the war in Georgia of last August, pushing the “reset” button on diplomatic relations is a popular endeavor nowadays.","STOCKHOLM – Ein Jahr nach dem Krieg in Georgien im letzten August ist es heutzutage populär den „Rückstellknopf“ für diplomatische Beziehungen zu drücken."
"President Barack Obama recently journeyed to Moscow in order to “reset” strained United States-Russian ties.","Präsident Barack Obama reiste unlängst nach Moskau, um die angespannten Beziehungen zwischen den Vereinigten Staaten und Russland „zurückzusetzen“."
"The European Union, though not in need of a “reset” because of strained ties with its eastern neighbors, is involved in a deep strategic reconstruction of those relations.","Für die Europäische Union besteht zwar nicht die Notwendigkeit, wegen angespannter Beziehungen zu ihren östlichen Nachbarn etwas „zurückzusetzen“, aber mit einem tiefgehenden strategischen Umbau dieser Beziehungen ist sie gleichwohl befasst."
"When the EU launched its new “Eastern Partnership” in May, the purpose was to promote further integration with the Union’s six immediate eastern neighbors – Armenia, Azerbaijan, Belarus, Georgia, Moldova, and Ukraine.","Im Mai brachte die EU ihre neue „Östliche Partnerschaft“ auf den Weg, um die weitere Integration mit den sechs unmittelbaren Nachbarn der Union zu fördern – Armenien, Aserbaidschan, Weißrussland, Georgien, die Republik Moldau und Ukraine."
"The global financial crisis had made an updated and strengthened policy for the EU’s eastern neighborhood an urgent need.","Die globale Finanzkrise hatte eine aktualisierte und gestärkte Politik für die östlichen Nachbarn der EU dringend erforderlich gemacht."
"Equally important was the fact that all the countries concerned expressed an ambition to move closer to the EU.","Ebenso wichtig war die Tatsache, dass alle beteiligten Länder die Motivation zum Ausdruck brachten, sich der EU weiter anzunähern."
"The Eastern Partnership – originating from a Polish/Swedish initiative – offers to the six countries a substantial upgrading and deepening of relations with the EU in key areas.","Die Östliche Partnerschaft – die auf eine polnisch/schwedische Initiative zurückgeht – eröffnet den sechs Ländern eine erhebliche Erweiterung und Vertiefung der Beziehungen zur EU in wichtigen Bereichen."
"In trade and economic relations, it clearly sets out the objective of establishing deep and comprehensive free-trade areas between the EU and the partner countries.","Bei den Handels- und Wirtschaftsbeziehungen ist das Ziel klar festgelegt, weitreichende und umfassende Freihandelszonen zwischen der EU und den Partnerländern einzurichten."
"It confirms full visa liberalization as a long-term goal (with visa facilitation agreements in the meantime), promises enhanced cooperation on energy security, diversification, and efficiency, and comes with dedicated programs and projects to help the neighbors in their integration and reform efforts in all these areas.","Die Partnerschaft bestätigt eine vollständige Visaliberalisierung als langfristiges Ziel (einstweilen mit Abkommen über Visaerleichterungen), verspricht bessere Zusammenarbeit beim Thema Energiesicherheit, -diversifizierung und -effizienz und umfasst engagierte Programme und Projekte, die die Nachbarn bei ihren Integrations- und Reformbemühungen in allen diesen Bereichen unterstützen sollen."
"Sweden’s assumption of the EU Presidency this month should help these efforts.","Schwedens Übernahme der EU-Präsidentschaft in diesem Monat soll diese Bemühungen unterstützen."
